inkonsistensi, konsistensi
berani, takut
kebeningan, kekeruhan
melupakan, mengingatkan
siuman, pingsan
boncel, bongsor
jasmani, rohani
akal-akalan, sungguh-sungguh
kemandirian, ketergantungan
memendek, memanjang
atasan, bawahan
senyap, bising
unik, biasa
pemutusan, penyambungan
menghela, menolak
penggundulan, penanaman
penyerapan, penyemburan
penumpasan, penumbuhan
konsisten, inkonsisten
antagonis, teman
teman, musuh
lecek, rapi
kebahagiaan, kesedihan
lunglai, segar
tertancap, tercabut
sukar, mudah
bebal, pintar
bebas, terkungkung
sufiks, prefiks
pengguna, produsen
kebisingan, kesenyapan
nonaktif, aktif
sanjungan, cacian
mudarat, manfaat
membeku, mencair
pakde, paklik
membeningkan, mengaburkan
berlaba, merugi
pintar, bodoh
jazirah, teluk
palsu, asli, legal
plastis, kaku
eksplisit, implisit
kaya, miskin
terabaikan, teperhatikan
tinggi, pendek, hina, rendah
mendempetkan, merenggangkan
tengadah, menunduk
perbalahan, perdamaian
kehadiran, kemangkiran
belakang, depan
bagak, kecil, hati
perjaka, perawan
lampau, kini
logis, irasional
ajudan, tuan
menyengsarakan, menyenangkan
terbangun, tertidur
lemah, kuat
lemas, bugar
pemberkasan, penguraian
sorongan, tarikan
ringkas, panjang
ceking, gendut
majir, subur
merahmati, melaknati
pembantah, penurut
kecintaan, kebencian
pengutang, kreditor
hak, kewajiban
mesum, senonoh
meriah, sepi, sunyi
kecantikan, kejelekan
pengabadian, pemusnahan
mempan, mangkir
terkenang, terlupa
puspawarna, seragam
sok, rendah, hati
camar, duka, jarang, benci
timbul, tenggelam
menolak, menarik, menerima
budak, juragan, dewasa
menghabiskan, menyisakan
dupleks, simpleks
elok, buruk
dempak, runcing
menyalahkan, membenarkan
duplikat, asli
majemuk, tunggal
kuantitas, kualitas
asli, palsu, asing
memperpanjang, memperpendek
cekung, cembung
amoral, bermoral
manggak, tamadun
pemberani, penakut
modis, ketinggalan, zaman
penguji, teruji
cabut, memasukkan
tuan, pembantu
heterogenitas, homogenitas
dusta, benar
cabul, bermoral
puruk, membangkitkan
bersengketa, berdamai
merem, melek
tersendat, lancar
kesuksesan, kegagalan
cemerlang, gelap, dungu
menangisi, menertawai
muai, menciut
menyetop, menjalankan, memulai
perlente, amburadul, lusuh
membelenggu, melepaskan
